"No.","Time","Source","Destination","Protocol","Length","Info"
"120","1.435017","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=1 Ack=61 Win=5500 Len=0"
"1473","1.567967","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","132","Application Data"
"2061","3.358398","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=59 Ack=131 Win=5500 Len=0"
"2233","10.072038","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=59 Ack=636 Win=5500 Len=0"
"2250","10.257334","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","185","Application Data"
"2268","10.522615","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","169","Application Data"
"2273","10.544704","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","171","Application Data"
"2277","10.580584","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=362 Ack=729 Win=5500 Len=0"
"2280","10.604637","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=362 Ack=824 Win=5500 Len=0"
"4038","18.758314","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","151","Application Data"
"4206","21.037616","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","354","Application Data"
"4217","21.195134","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=719 Ack=915 Win=5500 Len=0"
"4218","21.227974","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=719 Ack=1018 Win=5500 Len=0"
"4221","21.329826","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","164","Application Data"
"4235","22.074375","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","171","Application Data"
