"No.","Time","Source","Destination","Protocol","Length","Info"
"36","5.093353","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","147","Application Data"
"38","5.179349","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=1 Ack=74 Win=5500 Len=0"
"49","9.788596","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","340","Application Data"
"50","9.844621","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=1 Ack=340 Win=5500 Len=0"
"53","10.018833","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","188","Application Data"
"54","10.062967","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TCP","74","51017  >  443 [ACK] Seq=340 Ack=115 Win=1030 Len=0"
"58","10.283285","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","172","Application Data"
"59","10.286072","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","170","Application Data"
"61","10.309662","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","174","Application Data"
"62","10.313847","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","172","Application Data"
"63","10.342586","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=313 Ack=436 Win=5500 Len=0"
"64","10.370807","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=313 Ack=534 Win=5500 Len=0"
"67","10.533216","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","171","Application Data"
"68","10.535806","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","170","Application Data"
"69","10.592860","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=410 Ack=630 Win=5500 Len=0"
"235","22.264893","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","1466","443  >  51017 [ACK] Seq=410 Ack=630 Win=5500 Len=1392 [TCP segment of a reassembled PDU]"
"236","22.264893","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","195","Application Data"
"237","22.264983","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TCP","74","51017  >  443 [ACK] Seq=630 Ack=1923 Win=1033 Len=0"
"238","22.265099","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","1466","443  >  51017 [ACK] Seq=1923 Ack=630 Win=5500 Len=1392 [TCP segment of a reassembled PDU]"
"239","22.265099","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","1466","Application Data"
"240","22.265099","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","1103","Application Data"
"241","22.265154","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TCP","74","51017  >  443 [ACK] Seq=630 Ack=5736 Win=1033 Len=0"
"242","22.369203","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","168","Application Data"
"266","22.404041","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","180","Application Data"
"289","22.425251","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=5736 Ack=724 Win=5500 Len=0"
"293","22.461052","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=5736 Ack=830 Win=5500 Len=0"
"303","22.556796","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","167","Application Data"
"376","22.601623","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TCP","74","51017  >  443 [ACK] Seq=830 Ack=5829 Win=1032 Len=0"
"562","23.298414","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","174","Application Data"
"563","23.300920","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","173","Application Data"
"564","23.358014","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=5929 Ack=929 Win=5500 Len=0"
"568","23.894223","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","147","Application Data"
"569","23.951319","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=5929 Ack=1002 Win=5500 Len=0"
"837","33.904563","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","147","Application Data"
"838","33.961344","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=5929 Ack=1075 Win=5500 Len=0"
