"No.","Time","Source","Destination","Protocol","Length","Info"
"34","1.164410","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","134","Application Data"
"154","3.087518","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","151","Application Data"
"915","9.886236","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","607","Application Data"
"923","10.039953","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  49571 [ACK] Seq=671 Ack=92 Win=2285 Len=0"
"925","10.061641","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  49571 [ACK] Seq=671 Ack=195 Win=2285 Len=0"
"931","10.156220","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","164","Application Data"
"1553","18.275721","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  49571 [ACK] Seq=761 Ack=265 Win=2285 Len=0"
"1770","20.495822","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  49571 [ACK] Seq=761 Ack=511 Win=2285 Len=0"
"1772","20.648801","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","185","Application Data"
"1778","20.924150","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","169","Application Data"
"1781","20.958810","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","171","Application Data"
"1784","21.001410","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  49571 [ACK] Seq=1064 Ack=604 Win=2285 Len=0"
"1785","21.037366","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  49571 [ACK] Seq=1064 Ack=699 Win=2285 Len=0"
"1793","21.728945","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","168","Application Data"
"1804","21.807679","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  49571 [ACK] Seq=1158 Ack=792 Win=2285 Len=0"
"2333","30.518380","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","[TCP ACKed unseen segment] 443  >  49571 [ACK] Seq=1158 Ack=3576 Win=2307 Len=0"
"2334","30.519001","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  49571 [ACK] Seq=1158 Ack=5921 Win=2325 Len=0"
"2366","30.613841","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","138","Application Data"
"2368","30.648380","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","86","443  >  51994 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"2376","30.729128","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  51994 [ACK] Seq=1 Ack=518 Win=66816 Len=0"
"2377","30.729861","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.3","286","Server Hello, Change Cipher Spec, Application Data"
"2389","30.809900","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.3","245","Application Data"
"2390","30.809900","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.3","148","Application Data"
"2394","30.812969","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  51994 [ACK] Seq=458 Ack=1172 Win=67840 Len=0"
"2395","30.812969","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","[TCP ACKed unseen segment] 443  >  51994 [ACK] Seq=458 Ack=2607 Win=70656 Len=0"
"2396","30.812969","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.3","131","Application Data"
"2397","30.812969","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  51994 [ACK] Seq=515 Ack=4166 Win=73472 Len=0"
"2399","30.835294","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.3","562","Application Data"
"2400","30.835294","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.3","277","Application Data"
"2407","30.929120","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  51994 [ACK] Seq=1206 Ack=4197 Win=73472 Len=0"
"2654","34.573889","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","[TCP ACKed unseen segment] 443  >  49571 [ACK] Seq=1222 Ack=5991 Win=2325 Len=0"
"2716","35.504722","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","1466","443  >  49571 [ACK] Seq=1222 Ack=5991 Win=2325 Len=1392 [TCP segment of a reassembled PDU]"
"2717","35.504722","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","195","Application Data"
"2722","35.506274","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","1466","443  >  49571 [ACK] Seq=2735 Ack=5991 Win=2325 Len=1392 [TCP segment of a reassembled PDU]"
"2723","35.506274","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","1466","Application Data"
"2725","35.507080","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","868","Application Data"
"2755","35.676889","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  49571 [ACK] Seq=6313 Ack=6082 Win=2325 Len=0"
"2757","35.699473","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  49571 [ACK] Seq=6313 Ack=6185 Win=2325 Len=0"
