"No.","Time","Source","Destination","Protocol","Length","Info"
"38","1.218664","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=1 Ack=61 Win=1026 Len=0"
"158","3.131527","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=1 Ack=138 Win=1025 Len=0"
"918","9.929964","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=1 Ack=671 Win=1023 Len=0"
"919","9.965214","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","165","Application Data"
"920","9.986529","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","177","Application Data"
"934","10.210070","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=195 Ack=761 Win=1023 Len=0"
"1543","18.193667","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","144","Application Data"
"1769","20.420792","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","320","Application Data"
"1773","20.701661","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=511 Ack=872 Win=1022 Len=0"
"1779","20.926064","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"1782","20.958852","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","49571  >  443 [ACK] Seq=604 Ack=1064 Win=1027 Len=0"
"1783","20.963515","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","169","Application Data"
"1795","21.730780","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","167","Application Data"
"2356","30.570445","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","86","51994  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"2369","30.648435","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","51994  >  443 [ACK] Seq=1 Ack=1 Win=262912 Len=0"
"2370","30.648741","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.3","591","Client Hello"
"2372","30.664925","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","[TCP Previous segment not captured] 49571  >  443 [ACK] Seq=5921 Ack=1222 Win=1027 Len=0"
"2378","30.731620","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.3","138","Change Cipher Spec, Application Data"
"2379","30.731732","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.3","172","Application Data"
"2380","30.732067","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.3","566","Application Data"
"2383","30.732198","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.3","198","[TCP Previous segment not captured] , Application Data"
"2391","30.809923","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","[TCP Previous segment not captured] 51994  >  443 [ACK] Seq=4166 Ack=458 Win=262400 Len=0"
"2392","30.810123","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.3","105","Application Data"
"2401","30.835327","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","51994  >  443 [ACK] Seq=4197 Ack=1206 Win=261632 Len=0"
