"No.","Time","Source","Destination","Protocol","Length","Info"
"131","0.515013","10.100.102.58","162.159.128.235","TLSv1.2","115","Application Data"
"133","0.518216","162.159.128.235","10.100.102.58","TLSv1.2","158","Application Data"
"140","0.534765","10.100.102.58","162.159.130.235","TLSv1.2","115","Application Data"
"143","0.541282","162.159.128.235","10.100.102.58","TLSv1.2","111","Application Data"
"144","0.541329","10.100.102.58","162.159.128.235","TCP","54","58168  >  443 [ACK] Seq=62 Ack=162 Win=511 Len=0"
"145","0.546294","162.159.130.235","10.100.102.58","TLSv1.2","111","Application Data"
"159","0.587318","10.100.102.58","162.159.130.235","TCP","54","58169  >  443 [ACK] Seq=62 Ack=58 Win=511 Len=0"
"225","0.831262","162.159.128.235","10.100.102.58","TLSv1.2","158","Application Data"
"238","0.876474","10.100.102.58","162.159.128.235","TCP","54","58168  >  443 [ACK] Seq=62 Ack=266 Win=511 Len=0"
"356","1.210757","157.240.195.56","10.100.102.58","TLSv1.2","142","Application Data"
"357","1.213013","10.100.102.58","157.240.195.56","TLSv1.2","126","Application Data"
"382","1.292889","157.240.195.56","10.100.102.58","TCP","60","443  >  58100 [ACK] Seq=89 Ack=73 Win=2168 Len=0"
"474","1.618043","10.100.102.58","162.159.128.235","TLSv1.2","144","Application Data"
"489","1.665435","162.159.128.235","10.100.102.58","TCP","60","443  >  58168 [ACK] Seq=266 Ack=152 Win=8 Len=0"
"557","1.997942","10.100.102.58","162.159.128.235","TLSv1.2","144","Application Data"
"563","2.007757","162.159.128.235","10.100.102.58","TCP","60","443  >  58168 [ACK] Seq=266 Ack=242 Win=7 Len=0"
"1100","4.015757","34.117.65.55","10.100.102.58","TLSv1.2","78","Application Data"
"1101","4.016152","10.100.102.58","34.117.65.55","TLSv1.2","82","Application Data"
"1103","4.018049","10.100.102.58","162.159.128.235","TLSv1.2","144","Application Data"
"1104","4.021551","162.159.128.235","10.100.102.58","TCP","60","443  >  58168 [ACK] Seq=266 Ack=332 Win=7 Len=0"
"1105","4.023482","34.117.65.55","10.100.102.58","TCP","60","443  >  58116 [ACK] Seq=25 Ack=29 Win=272 Len=0"
"1150","4.174470","10.100.102.58","162.159.128.235","TLSv1.2","144","Application Data"
"1151","4.179523","162.159.128.235","10.100.102.58","TCP","60","443  >  58168 [ACK] Seq=266 Ack=422 Win=7 Len=0"
"1440","5.271805","10.100.102.58","162.159.128.235","TLSv1.2","144","Application Data"
"1442","5.278308","162.159.128.235","10.100.102.58","TCP","60","443  >  58168 [ACK] Seq=266 Ack=512 Win=7 Len=0"
"1445","5.294108","10.100.102.58","162.159.128.235","TLSv1.2","144","Application Data"
"1447","5.304456","162.159.128.235","10.100.102.58","TCP","60","443  >  58168 [ACK] Seq=266 Ack=602 Win=7 Len=0"
"1498","5.522284","10.100.102.58","162.159.128.235","TLSv1.2","115","Application Data"
"1504","5.536999","10.100.102.58","162.159.130.235","TLSv1.2","115","Application Data"
"1505","5.537032","162.159.128.235","10.100.102.58","TCP","60","443  >  58168 [ACK] Seq=266 Ack=663 Win=7 Len=0"
"1507","5.541728","162.159.128.235","10.100.102.58","TLSv1.2","111","Application Data"
"1508","5.548171","162.159.130.235","10.100.102.58","TLSv1.2","111","Application Data"
"1518","5.592439","10.100.102.58","162.159.128.235","TCP","54","58168  >  443 [ACK] Seq=663 Ack=323 Win=511 Len=0"
"1519","5.592522","10.100.102.58","162.159.130.235","TCP","54","58169  >  443 [ACK] Seq=123 Ack=115 Win=511 Len=0"
"1644","6.073854","10.100.102.58","162.159.128.235","TLSv1.2","144","Application Data"
"1653","6.118722","162.159.128.235","10.100.102.58","TCP","60","443  >  58168 [ACK] Seq=323 Ack=753 Win=8 Len=0"
"1658","6.131480","10.100.102.58","162.159.128.235","TLSv1.2","144","Application Data"
"1660","6.137137","162.159.128.235","10.100.102.58","TCP","60","443  >  58168 [ACK] Seq=323 Ack=843 Win=7 Len=0"
"1707","6.378128","10.100.102.58","157.240.195.56","TLSv1.2","160","Application Data"
"1723","6.451991","157.240.195.56","10.100.102.58","TCP","60","443  >  58100 [ACK] Seq=89 Ack=179 Win=2168 Len=0"
