"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","140","Application Data"
"2","0.083763","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  63153 [ACK] Seq=1 Ack=67 Win=1185 Len=0"
"17","0.543132","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","140","Application Data"
"18","0.621388","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  63153 [ACK] Seq=1 Ack=133 Win=1185 Len=0"
"19","0.714456","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","147","Application Data"
"21","0.758091","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","63153  >  443 [ACK] Seq=133 Ack=74 Win=1022 Len=0"
"29","2.089955","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","134","Application Data"
"31","2.142761","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TCP","74","63153  >  443 [ACK] Seq=133 Ack=134 Win=1027 Len=0"
"133","8.286921","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","2a03:2880:f258:c8:face:b00c:0:167","TLSv1.2","143","Application Data"
"134","8.366475","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TCP","74","443  >  63153 [ACK] Seq=134 Ack=202 Win=1185 Len=0"
"135","8.459428","2a03:2880:f258:c8:face:b00c:0:167","2a00:a041:3b1d:ce00:a1e5:af73:6ded:393e","TLSv1.2","145","Application Data"
