"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.047607","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2606:50c0:8002::154","TCP","75","52505  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]"
"5","0.109919","2606:50c0:8002::154","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","86","443  >  52505 [ACK] Seq=1 Ack=2 Win=286 Len=0 SLE=1 SRE=2"
"10","2.698909","192.168.1.174","20.189.173.6","TLSv1.2","912","Application Data"
"11","2.699021","192.168.1.174","20.189.173.6","TCP","1494","52588  >  443 [ACK] Seq=859 Ack=1 Win=1020 Len=1440 [TCP segment of a reassembled PDU]"
"12","2.699021","192.168.1.174","20.189.173.6","TCP","1494","52588  >  443 [ACK] Seq=2299 Ack=1 Win=1020 Len=1440 [TCP segment of a reassembled PDU]"
"13","2.699021","192.168.1.174","20.189.173.6","TLSv1.2","907","Application Data"
"16","2.934562","20.189.173.6","192.168.1.174","TLSv1.2","108","Application Data"
"17","2.934562","20.189.173.6","192.168.1.174","TCP","60","443  >  52588 [ACK] Seq=55 Ack=4592 Win=2053 Len=0"
"18","2.934562","20.189.173.6","192.168.1.174","TLSv1.2","507","Application Data"
"19","2.934668","192.168.1.174","20.189.173.6","TCP","54","52588  >  443 [ACK] Seq=4592 Ack=508 Win=1024 Len=0"
"25","4.946233","192.168.1.174","20.189.173.6","TLSv1.2","912","Application Data"
"26","4.946352","192.168.1.174","20.189.173.6","TCP","1494","52588  >  443 [ACK] Seq=5450 Ack=508 Win=1024 Len=1440 [TCP segment of a reassembled PDU]"
"27","4.946352","192.168.1.174","20.189.173.6","TCP","1494","52588  >  443 [ACK] Seq=6890 Ack=508 Win=1024 Len=1440 [TCP segment of a reassembled PDU]"
"28","4.946352","192.168.1.174","20.189.173.6","TLSv1.2","867","Application Data"
"36","5.154458","20.189.173.6","192.168.1.174","TCP","60","443  >  52588 [ACK] Seq=508 Ack=6890 Win=2053 Len=0"
"37","5.154458","20.189.173.6","192.168.1.174","TCP","60","443  >  52588 [ACK] Seq=508 Ack=9143 Win=2053 Len=0"
"38","5.155131","20.189.173.6","192.168.1.174","TLSv1.2","507","Application Data"
"39","5.155206","192.168.1.174","20.189.173.6","TCP","54","52588  >  443 [ACK] Seq=9143 Ack=961 Win=1022 Len=0"
"50","5.815584","192.168.1.174","20.199.120.151","TLSv1.2","98","Application Data"
"51","5.874004","20.199.120.151","192.168.1.174","TLSv1.2","229","Application Data"
"52","5.915424","192.168.1.174","20.199.120.151","TCP","54","54306  >  443 [ACK] Seq=45 Ack=176 Win=512 Len=0"
"107","7.870317","192.168.1.174","20.199.120.151","TLSv1.2","155","Application Data"
"108","7.948211","20.199.120.151","192.168.1.174","TLSv1.2","225","Application Data"
"109","7.992759","192.168.1.174","20.199.120.151","TCP","54","49421  >  443 [ACK] Seq=102 Ack=172 Win=512 Len=0"
"123","9.487828","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TLSv1.2","281","Application Data"
"124","9.506039","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TLSv1.2","162","Application Data"
"125","9.562182","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","74","443  >  52044 [ACK] Seq=208 Ack=89 Win=1617 Len=0"
"126","9.692732","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TLSv1.2","249","Application Data"
"127","9.698758","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TLSv1.2","148","Application Data"
"128","9.755928","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","74","443  >  52044 [ACK] Seq=383 Ack=163 Win=1617 Len=0"
"134","10.433574","140.82.112.25","192.168.1.174","TLSv1.2","80","Application Data"
"135","10.433797","192.168.1.174","140.82.112.25","TLSv1.2","84","Application Data"
"136","10.613313","140.82.112.25","192.168.1.174","TCP","60","443  >  52377 [ACK] Seq=27 Ack=31 Win=72 Len=0"
"137","10.614185","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=163 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"138","10.614185","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=1555 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"139","10.614185","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=2947 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"140","10.614185","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=4339 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"141","10.614185","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=5731 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"142","10.614185","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=7123 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"143","10.614185","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=8515 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"144","10.614185","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=9907 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"145","10.614185","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=11299 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"146","10.614185","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=12691 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"147","10.614185","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=14083 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"148","10.614185","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TLSv1.2","1168","Application Data"
"149","10.614326","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=16569 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"150","10.614326","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=17961 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"151","10.614326","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","1466","52044  >  443 [ACK] Seq=19353 Ack=383 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"152","10.614326","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TLSv1.2","1349","Application Data"
"153","10.670279","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","74","443  >  52044 [ACK] Seq=383 Ack=1555 Win=1628 Len=0"
"154","10.675472","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","74","443  >  52044 [ACK] Seq=383 Ack=5731 Win=1661 Len=0"
"155","10.675472","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","74","443  >  52044 [ACK] Seq=383 Ack=16569 Win=1745 Len=0"
"156","10.675472","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","74","443  >  52044 [ACK] Seq=383 Ack=17961 Win=1756 Len=0"
"157","10.709576","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","74","443  >  52044 [ACK] Seq=383 Ack=22020 Win=1788 Len=0"
"158","10.796551","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TLSv1.2","161","Application Data"
"159","10.841785","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","74","52044  >  443 [ACK] Seq=22020 Ack=470 Win=513 Len=0"
"160","11.126815","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TLSv1.2","154","Application Data"
"161","11.126815","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TLSv1.2","180","Application Data"
"162","11.126894","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","74","52044  >  443 [ACK] Seq=22020 Ack=656 Win=512 Len=0"
"163","11.130362","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TLSv1.2","152","Application Data"
"164","11.140136","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TLSv1.2","154","Application Data"
"165","11.186929","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","74","443  >  52044 [ACK] Seq=656 Ack=22098 Win=1788 Len=0"
"166","11.197279","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","74","443  >  52044 [ACK] Seq=656 Ack=22178 Win=1788 Len=0"
"187","14.096691","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TLSv1.2","168","Application Data"
"188","14.131499","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TLSv1.2","147","Application Data"
"189","14.188968","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","74","443  >  52044 [ACK] Seq=750 Ack=22251 Win=1788 Len=0"
"190","14.197229","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TLSv1.2","137","Application Data"
"191","14.257606","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","74","52044  >  443 [ACK] Seq=22251 Ack=813 Win=511 Len=0"
"195","16.759351","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TLSv1.2","137","Application Data"
"196","16.799309","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","2a03:2880:f277:cc:face:b00c:0:167","TCP","74","52044  >  443 [ACK] Seq=22251 Ack=876 Win=511 Len=0"
"317","21.571628","13.107.42.12","192.168.1.174","TCP","60","443  >  52585 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"318","21.571628","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","1466","443  >  52044 [ACK] Seq=876 Ack=22251 Win=1788 Len=1392 [TCP segment of a reassembled PDU]"
"319","21.571628","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TLSv1.2","145","Application Data"
"357","21.783482","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","145","[TCP Retransmission] 443  >  52044 [PSH, ACK] Seq=2268 Ack=22251 Win=1788 Len=71"
"524","22.047941","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","1466","[TCP Retransmission] 443  >  52044 [ACK] Seq=876 Ack=22251 Win=1788 Len=1392"
"527","22.595743","2a03:2880:f277:cc:face:b00c:0:167","2a0d:6fc2:5560:c200:2108:9467:c6c8:5a90","TCP","1466","[TCP Retransmission] 443  >  52044 [ACK] Seq=876 Ack=22251 Win=1788 Len=1392"
