"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.174","34.0.64.255","UDP","227","64156  >  50001 Len=185"
"2","0.004308","34.0.64.255","192.168.1.174","UDP","84","50001  >  64156 Len=42"
"3","0.020180","192.168.1.174","34.0.64.255","UDP","225","64156  >  50001 Len=183"
"4","0.040574","192.168.1.174","34.0.64.255","UDP","219","64156  >  50001 Len=177"
"5","0.061052","192.168.1.174","34.0.64.255","UDP","221","64156  >  50001 Len=179"
"6","0.081398","192.168.1.174","34.0.64.255","UDP","77","64156  >  50001 Len=35"
"7","0.118802","172.217.22.46","192.168.1.174","UDP","79","443  >  50991 Len=37"
"8","0.121050","192.168.1.174","172.217.22.46","UDP","75","50991  >  443 Len=33"
"9","0.232446","192.168.1.174","162.159.137.234","TLSv1.2","115","Application Data"
"10","0.234553","162.159.137.234","192.168.1.174","TCP","60","443  >  53552 [ACK] Seq=1 Ack=62 Win=7 Len=0"
"11","0.279973","162.159.137.234","192.168.1.174","TLSv1.2","111","Application Data"
"12","0.320828","192.168.1.174","162.159.137.234","TCP","54","53552  >  443 [ACK] Seq=62 Ack=58 Win=511 Len=0"
"13","0.368056","192.168.1.174","162.159.137.234","TLSv1.2","142","Application Data"
"14","0.370108","162.159.137.234","192.168.1.174","TCP","60","443  >  53552 [ACK] Seq=58 Ack=150 Win=7 Len=0"
"15","0.460763","192.168.1.115","255.255.255.255","UDP","207","49156  >  20002 Len=165"
"16","0.481309","192.168.1.174","34.0.64.255","UDP","122","64156  >  50001 Len=80"
"17","0.486458","192.168.1.174","34.0.64.255","UDP","225","64156  >  50001 Len=183"
"18","0.498689","192.168.1.174","34.0.64.255","UDP","122","64156  >  50001 Len=80"
"19","0.503395","192.168.1.174","34.0.64.255","UDP","77","64156  >  50001 Len=35"
"20","0.505627","192.168.1.174","34.0.64.255","UDP","122","64156  >  50001 Len=80"
"21","0.841568","192.168.1.174","34.0.64.255","UDP","112","64156  >  50001 Len=70"
"22","0.901726","192.168.1.174","34.0.64.255","UDP","222","64156  >  50001 Len=180"
"23","0.921296","192.168.1.174","34.0.64.255","UDP","77","64156  >  50001 Len=35"
"24","0.952988","34.0.64.255","192.168.1.174","UDP","88","50001  >  64156 Len=46"
"25","1.151393","172.217.22.10","192.168.1.174","UDP","121","443  >  55693 Len=79"
"26","1.152945","192.168.1.174","172.217.22.10","UDP","75","55693  >  443 Len=33"
"27","1.280957","192.168.1.174","34.0.64.255","UDP","217","64156  >  50001 Len=175"
"28","1.300208","192.168.1.174","34.0.64.255","UDP","224","64156  >  50001 Len=182"
"29","1.306824","192.168.1.174","162.159.137.234","TLSv1.2","142","Application Data"
"30","1.309169","162.159.137.234","192.168.1.174","TCP","60","443  >  53552 [ACK] Seq=58 Ack=238 Win=7 Len=0"
"31","1.320053","192.168.1.174","34.0.64.255","UDP","229","64156  >  50001 Len=187"
"32","1.323981","34.0.64.255","192.168.1.174","UDP","88","50001  >  64156 Len=46"
"33","1.340216","192.168.1.174","34.0.64.255","UDP","245","64156  >  50001 Len=203"
"34","1.359864","192.168.1.174","34.0.64.255","UDP","235","64156  >  50001 Len=193"
"35","1.375756","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","134","Application Data"
"36","1.380408","192.168.1.174","34.0.64.255","UDP","226","64156  >  50001 Len=184"
"37","1.387806","192.168.1.174","34.0.64.255","UDP","88","64156  >  50001 Len=46"
"38","1.399934","192.168.1.174","34.0.64.255","UDP","219","64156  >  50001 Len=177"
"39","1.419832","192.168.1.174","34.0.64.255","UDP","219","64156  >  50001 Len=177"
"40","1.420643","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:1::a","TCP","1474","51049  >  443 [ACK] Seq=1 Ack=1 Win=16504 Len=1400 [TCP segment of a reassembled PDU]"
"41","1.420643","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:1::a","TLSv1.2","1057","Application Data"
"42","1.420688","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a00:1450:4028:1::a","TLSv1.2","98","Application Data"
"43","1.424387","34.0.64.255","192.168.1.174","UDP","84","50001  >  64156 Len=42"
"44","1.424387","2a00:1450:4028:1::a","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51049 [ACK] Seq=1 Ack=2384 Win=541 Len=0"
"45","1.426307","2a00:1450:4028:1::a","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","1294","Application Data, Application Data, Application Data, Application Data, Application Data"
"46","1.426307","2a00:1450:4028:1::a","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","1294","Application Data"
"47","1.426307","2a00:1450:4028:1::a","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","1294","443  >  51049 [ACK] Seq=2441 Ack=2408 Win=541 Len=1220 [TCP segment of a reassembled PDU]"
