"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","18.184.238.147","192.168.1.174","TCP","60","443  >  51298 [ACK] Seq=1 Ack=1 Win=12 Len=0"
"2","0.000047","192.168.1.174","18.184.238.147","TCP","54","[TCP ACKed unseen segment] 51298  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"3","0.046656","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","134","Application Data"
"4","0.102617","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=1 Ack=61 Win=5500 Len=0"
"5","0.681354","38.106.231.204","192.168.1.174","TLSv1.2","85","Encrypted Alert"
"6","0.681791","38.106.231.204","192.168.1.174","TCP","60","443  >  51276 [FIN, ACK] Seq=32 Ack=1 Win=73 Len=0"
"7","0.681829","192.168.1.174","38.106.231.204","TCP","54","51276  >  443 [ACK] Seq=1 Ack=33 Win=512 Len=0"
"16","1.525865","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TLSv1.2","134","Application Data"
"17","1.581598","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","74","443  >  51017 [ACK] Seq=1 Ack=121 Win=5500 Len=0"
"20","1.676392","2a03:2880:f276:cd:face:b00c:0:167","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TLSv1.2","132","Application Data"
"21","1.740591","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2a03:2880:f276:cd:face:b00c:0:167","TCP","74","51017  >  443 [ACK] Seq=121 Ack=59 Win=1032 Len=0"
"30","3.306824","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2606:2800:233:66b5:799a:7cd3:f74d:7071","TCP","75","51319  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]"
"31","3.362765","2606:2800:233:66b5:799a:7cd3:f74d:7071","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","TCP","86","443  >  51319 [ACK] Seq=1 Ack=2 Win=142 Len=0 SLE=1 SRE=2"
"32","3.368860","2a0d:6fc2:5560:c200:15f4:c1ab:865a:2377","2001:40a8:4400:3::5266:9841","TCP","75","51328  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]"
